x,y,group,tooltip
2012,21,retour,<table class='PykCharts'><tr><td>21%</td></tr></table>
2013,28,retour,<table class='PykCharts'><tr><td>28%</td></tr></table>
2014,21,retour,<table class='PykCharts'><tr><td>21%</td></tr></table>
2015,23,retour,<table class='PykCharts'><tr><td>23%</td></tr></table>
2016,25,retour,<table class='PykCharts'><tr><td>25%</td></tr></table>
