x,y,group,tooltip
2012,21,retour,<table class='PykCharts'><tr><td>21%</td></tr></table>
2013,34,retour,<table class='PykCharts'><tr><td>28%</td></tr></table>
2014,31,retour,<table class='PykCharts'><tr><td>21%</td></tr></table>
2015,28,retour,<table class='PykCharts'><tr><td>23%</td></tr></table>
2016,36,retour,<table class='PykCharts'><tr><td>25%</td></tr></table>
