x,y,group,tooltip
Toulouse,160,ville,<table class='PykCharts'><tr><td>Toulouse</td></tr><tr><td>160</td></tr></table>
Paris,119,ville,<table class='PykCharts'><tr><td>Paris</td></tr><tr><td>119</td></tr></table>
Bordeaux,86,ville,<table class='PykCharts'><tr><td>Bordeaux</td></tr><tr><td>86</td></tr></table>
Montpellier,61,ville,<table class='PykCharts'><tr><td>Montpellier</td></tr><tr><td>61</td></tr></table>
Lyon,22,ville,<table class='PykCharts'><tr><td>Lyon</td></tr><tr><td>22</td></tr></table>
Agen,17,ville,<table class='PykCharts'><tr><td>Agen</td></tr><tr><td>17</td></tr></table>
Nantes,12,ville,<table class='PykCharts'><tr><td>Nantes</td></tr><tr><td>12</td></tr></table>
Saint-Etienne,11,ville,<table class='PykCharts'><tr><td>Saint-Etienne</td></tr><tr><td>11</td></tr></table>
Londres,11,ville,<table class='PykCharts'><tr><td>Londres</td></tr><tr><td>11</td></tr></table>
