x,y,group,tooltip
Haute Garonne,184,département,<table class='PykCharts'><tr><td>Haute Garonne</td></tr><tr><td>184</td></tr></table>
Paris,119,département,<table class='PykCharts'><tr><td>Paris</td></tr><tr><td>119</td></tr></table>
Gironde,93,département,<table class='PykCharts'><tr><td>Gironde</td></tr><tr><td>93</td></tr></table>
Hérault,82,département,<table class='PykCharts'><tr><td>Hérault</td></tr><tr><td>82</td></tr></table>
Rhône,30,département,<table class='PykCharts'><tr><td>Rhône</td></tr><tr><td>30</td></tr></table>
Lot et Garonne,20,département,<table class='PykCharts'><tr><td>Lot et Garonne</td></tr><tr><td>20</td></tr></table>
