x,y,group,tooltip
Gironde,53,département,<table class='PykCharts'><tr><td>Gironde</td></tr><tr><td>53</td></tr></table>
Paris,29,département,<table class='PykCharts'><tr><td>Paris</td></tr><tr><td>29</td></tr></table>
Haute Garonne,18,département,<table class='PykCharts'><tr><td>Haute Garonne</td></tr><tr><td>18</td></tr></table>
Lot et Garonne,9,département,<table class='PykCharts'><tr><td>Lot et Garonne</td></tr><tr><td>9</td></tr></table>
Hérault,7,département,<table class='PykCharts'><tr><td>Hérault</td></tr><tr><td>7</td></tr></table>
Loire Atlantique,7,département,<table class='PykCharts'><tr><td>Loire Atlantique</td></tr><tr><td>7</td></tr></table>
